product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,product_warranty.y,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-34-740-cca-34-agm/10310829-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,34,740 A,925 A,>500AMP,7.75,10.25,6.812,501-1000sq.inch,Top Right,Top Left,115 min,Top Mount,12.0 VDC,38.7,20.1-40pound,60.0 Ah,"Battery, Group Size 34, 740 CCA",(41 reviews),3 YR FREE REPLACEMENT,209.99,10310829,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,209.99,201-400$,629.97,0.0011707269999999999
Value Battery,Value Battery,https://shop.advanceautoparts.com/p/value-battery-battery-group-size-58r-580-cca-58r-v/11942679-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,58R,580 A,725 A,>500AMP,6.937,10.06,7.187,501-1000sq.inch,Top Left,Top Right,100 min,Top Mount,12.0 VDC,31.0,20.1-40pound,,"Battery, Group Size 58R, 580 CCA",(0 reviews),90 DAY REPLACEMENT IF DEFECTIVE,84.99,11942679,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,84.99,51-100$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-14l-a2/2090120-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,190 A,,,6.54,5.28,3.5,101-200sq.inch,,,,,12 v,9.2,5.1-10pound,,Power Sport Battery,(42 reviews),3 MO FREE REPLACEMENT,54.99,2090120,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,54.99,51-100$,54.99,0.00010219299999999999
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-124r-700-cca-124r-agm/12102916-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,124R,700 A,875 A,>500AMP,8.5,7.0,10.5,501-1000sq.inch,Top Left,Top Right,110 min,Top Mount,12.0 VDC,46.0,>40pound,60.0 Ah,"Battery, Group Size 124R, 700 CCA",(0 reviews),3 YR REPLACEMENT IF DEFECTIVE,209.99,12102916,3 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,5,209.99,201-400$,1049.95,0.001951211
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-56-550-cca-56-1/2040255-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,56,550 A,688 A,>500AMP,8.375,10.015,6.06,501-1000sq.inch,Top Left,Top Right,86 min,Top Mount,12.0 VDC,33.81,20.1-40pound,,"Battery, Group Size 56, 550 CCA",(48 reviews),2 YR FREE REPLACEMENT,159.99,2040255,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,9,159.99,101-200$,1439.91,0.002675907
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sports-agm-battery-12-volt-120-cca-battery-not-activated-requires-installer-to-add-included-acid-and-charge-before-use-9-bs/2090317-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,120 A,,,4.17,5.91,3.43,51-100sq.inch,,,,,12 v,6.3,5.1-10pound,,"Power Sport Battery, AGM",(26 reviews),3 MO FREE REPLACEMENT,64.99,2090317,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,8,64.99,51-100$,519.92,0.0009662119999999999
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-42-495-cca-42-1/2040336-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,42,495 A,615 A,>500AMP,6.937,9.06,6.937,201-500sq.inch,Top Left,Top Right,75 min,Top Mount,12.0 VDC,27.85,20.1-40pound,,"Battery, Group Size 42, 495 CCA",(36 reviews),2 YR FREE REPLACEMENT,159.99,2040336,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,159.99,101-200$,479.97,0.0008919689999999999
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-b16l-b-260-cca-t16l/16940005-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,260 A,,,6.125,6.875,3.937,101-200sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,14.37,10.1-20pound,19.0 Ah,"Powersports Battery, Group Size B16L-B, 260 CCA",(24 reviews),90 DAY REPLACEMENT IF DEFECTIVE,99.99,16940005,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4,99.99,51-100$,399.96,0.00074328
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-50-n18l-a2/2090112-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,260 A,,,6.3,8.07,3.54,101-200sq.inch,,,,,12 v,13.4,10.1-20pound,,Power Sport Battery,(64 reviews),3 MO FREE REPLACEMENT,65.99,2090112,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,65.99,51-100$,131.98,0.00024527
Optima,Optima,https://shop.advanceautoparts.com/p/optima-blue-top-marine-battery-group-size-d34m-750-cca-d34m-950/16080019-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,750 A,870 A,>500AMP,7.937,10.06,6.875,501-1000sq.inch,Top Right,Top Left,120 min,Top Mount,12.0 VDC,43.5,>40pound,,"Blue Top Marine Battery, Group Size D34M, 750 CCA",(41 reviews),2 YR FREE REPLACEMENT,299.99,16080019,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,299.99,201-400$,599.98,0.001114994
DieHard Marine,DieHard,https://shop.advanceautoparts.com/p/diehard-marine-marine-battery-group-size-24m-700-cca-24m-agm/10866721-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,700 A,,,8.875,10.25,6.812,501-1000sq.inch,Top Left,Top Right,120 min,Top Mount,12.0 VDC,45.0,>40pound,70.0 Ah,"Marine Battery, Group Size 24M, 700 CCA",(0 reviews),1 YR REPLACEMENT IF DEFECTIVE,178.99,10866721,1 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,178.99,101-200$,357.98,0.000665265
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-h6r-600-cca-h6r/11764085-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,600 A,750 A,>500AMP,7.5,11.0,6.937,501-1000sq.inch,Top Right,Top Left,110 min,Top Mount,12.0 VDC,35.91,20.1-40pound,,"Battery, Group Size H6R, 600 CCA",(0 reviews),3 YR REPLACEMENT IF DEFECTIVE,179.99,11764085,3 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,179.99,101-200$,359.98,0.000668981
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-t6-720-cca-t6/10450549-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,6.937,11.0,6.937,501-1000sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,36.61,20.1-40pound,60.0 Ah,"Battery, Group Size T6, 720 CCA",(13 reviews),3 YR FREE REPLACEMENT,179.99,10450549,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,179.99,101-200$,179.99,0.00033449099999999997
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btx14ahl-bs-210-cca-tx14ahl/16940004-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,210 A,,,6.437,5.25,3.562,101-200sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,10.69,10.1-20pound,12.0 Ah,"Powersports Battery, Group Size BTX14AHL-BS, 210 CCA",(47 reviews),90 DAY REPLACEMENT IF DEFECTIVE,89.99,16940004,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,10,89.99,51-100$,899.9,0.001672361
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-124-700-cca-124-1/10629647-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,124,700 A,875 A,>500AMP,8.437000000000001,10.43,6.888999999999999,501-1000sq.inch,Top Right,Top Left,100 min,Top Mount,12.0 VDC,39.1,20.1-40pound,,"Battery, Group Size 124, 700 CCA",(16 reviews),2 YR FREE REPLACEMENT,159.99,10629647,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,159.99,101-200$,479.97,0.0008919689999999999
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-t7-800-cca-92-t7-2/10043626-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,6.937,12.437000000000001,6.937,501-1000sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,44.71,>40pound,80.0 Ah,"Battery, Group Size T7, 800 CCA",(39 reviews),3 YR FREE REPLACEMENT,179.99,10043626,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,179.99,101-200$,179.99,0.00033449099999999997
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-85-625-cca-85-2/99996789-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,85,625 A,780 A,>500AMP,8.0,9.06,6.812,201-500sq.inch,Top Left,Top Right,95 min,Top Mount,12.0 VDC,32.24,20.1-40pound,,"Battery, Group Size 85, 625 CCA",(70 reviews),3 YR FREE REPLACEMENT,179.99,99996789,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,9,179.99,101-200$,1619.91,0.0030104159999999997
Energizer,,https://shop.advanceautoparts.com/p/energizer-2032-batteries-4-pack-3v-lithium-coin-batteries-2032bp-4/12219203-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,"2032 Batteries (4 Pack), 3V Lithium Coin Batteries",(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,9.99,12219203,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,18,9.99,0-50$,179.82,0.000334175
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btx14l-bs-200-cca-tx14l/12042812-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,200 A,,,5.687,5.875,3.437,101-200sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,9.81,5.1-10pound,12.0 Ah,"Powersports Battery, Group Size BTX14L-BS, 200 CCA",(15 reviews),90 DAY REPLACEMENT IF DEFECTIVE,115.99,12042812,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,115.99,101-200$,347.97,0.000646662
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sports-agm-battery-12-volt-200-cca-battery-not-activated-requires-installer-to-add-included-acid-and-charge-before-use-14-bs/2090236-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,200 A,,,5.75,5.91,3.43,101-200sq.inch,,,,,12 v,9.9,5.1-10pound,,"Power Sport Battery, AGM",(37 reviews),3 MO FREE REPLACEMENT,107.99,2090236,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,107.99,101-200$,323.97,0.000602061
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-67r-400-cca-67r/11229824-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,67R,400 A,500 A,201-500AMP,6.937,9.125,6.937,201-500sq.inch,Top Left,Top Right,65 min,Top Mount,12.0 VDC,24.48,20.1-40pound,,"Battery, Group Size 67R, 400 CCA",(1 reviews),3 YR REPLACEMENT IF DEFECTIVE,179.99,11229824,3 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,179.99,101-200$,539.97,0.001003472
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-14a-a2/2090147-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,190 A,,,6.93,5.28,3.5,101-200sq.inch,,,,,12 v,9.4,5.1-10pound,,Power Sport Battery,(54 reviews),3 MO FREE REPLACEMENT,72.99,2090147,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,5,72.99,51-100$,364.95,0.0006782180000000001
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-34-750-cca-d34/16080025-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,34,750 A,870 A,>500AMP,7.875,10.06,6.875,501-1000sq.inch,Top Right,Top Left,120 min,Top Mount,12.0 VDC,42.9,>40pound,,"Yellow Top Deep Cycle Battery, Group Size 34, 750 CCA",(16 reviews),3 YR FREE REPLACEMENT,294.99,16080025,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4,294.99,201-400$,1179.96,0.00219282
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-b16-b-260-cca-t16/16940013-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,260 A,,,6.125,6.875,3.937,101-200sq.inch,Top Right,Top Left,,Top Mount,12.0 VDC,14.37,10.1-20pound,19.0 Ah,"Powersports Battery, Group Size B16-B, 260 CCA",(17 reviews),90 DAY REPLACEMENT IF DEFECTIVE,99.99,16940013,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,99.99,51-100$,199.98,0.00037164
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-bci-group-size-401-180-cca-aux12-1/12268843-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,401,180 A,,,5.69,6.25,3.75,101-200sq.inch,Top Right,Top Left,,Top Mount,12.0 VDC,8.71,5.1-10pound,,"Battery, BCI Group Size 401, 180 CCA",(0 reviews),1 YR FREE REPLACEMENT,109.99,12268843,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,109.99,101-200$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sports-agm-battery-12-volt-180-cca-battery-not-activated-requires-installer-to-add-included-acid-and-charge-before-use-12-bs/2090031-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,180 A,,,5.16,5.91,3.43,101-200sq.inch,,,,,12 v,7.7,5.1-10pound,,"Power Sport Battery, AGM",(29 reviews),3 MO FREE REPLACEMENT,86.99,2090031,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,86.99,51-100$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sports-agm-battery-12-volt-270-cca-battery-not-activated-requires-installer-to-add-included-acid-and-charge-before-use-20l-bs/2090430-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,270 A,,,6.1,6.89,3.43,101-200sq.inch,,,,,12 v,13.0,10.1-20pound,,"Power Sport Battery, AGM",(72 reviews),3 MO FREE REPLACEMENT,108.99,2090430,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,108.99,101-200$,326.97,0.0006076359999999999
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btz7s-130-cca-tz7s/10890044-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,130 A,,,4.125,4.437,2.75,51-100sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,4.81,2.1-5pound,6.0 Ah,"Powersports Battery, Group Size BTZ7S, 130 CCA",(1 reviews),3 MO FREE REPLACEMENT,105.99,10890044,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,105.99,101-200$,211.98,0.00039394
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-4d-1000-cca-4d30/2100118-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,4D,1000 A,1250 A,>500AMP,9.812000000000001,20.75,8.75,>1000sq.inch,Top Left,Top Right,295 min,Top Mount,12.0 VDC,100.8,>40pound,,"Heavy Duty Commercial & Farm Battery, Group Size 4D, 1000 CCA",(5 reviews),12 MO FREE REPLACMENT,194.99,2100118,12 MO FREE REPLACMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,194.99,101-200$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-bt12b-4-175-cca-bt12b-4/12018876-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,175 A,,,,,,,Top Right,Top Left,,Top Mount,12.0 VDC,,,10.0 Ah,"Powersports Battery, Group Size BT12B-4, 175 CCA",(0 reviews),90 DAY REPLACEMENT IF DEFECTIVE,115.99,12018876,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,115.99,101-200$,115.99,0.00021555400000000002
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-s34b20r-340-cca-s34b20r/12023819-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,340 A,425 A,201-500AMP,8.75,7.625,5.0,201-500sq.inch,Top Right,Top Left,57 min,Top Mount,12.0 VDC,24.0,20.1-40pound,,"Battery, Group Size S34B20R, 340 CCA",(0 reviews),3 YR REPLACEMENT IF DEFECTIVE,209.99,12023819,3 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,209.99,201-400$,0.0,0.0
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-v4-520-cca-v4/10653330-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,5.437,8.125,6.875,201-500sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,23.7,20.1-40pound,35.0 Ah,"Battery, Group Size V4, 520 CCA",(4 reviews),3 YR FREE REPLACEMENT,179.99,10653330,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,179.99,101-200$,539.97,0.001003472
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btx24hl-350-cca-tx24hl/16940006-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,350 A,,,6.375,8.06,3.437,101-200sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,16.01,10.1-20pound,21.0 Ah,"Powersports Battery, Group Size BTX24HL, 350 CCA",(33 reviews),90 DAY REPLACEMENT IF DEFECTIVE,115.99,16940006,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,115.99,101-200$,347.97,0.000646662
Optima,Optima,https://shop.advanceautoparts.com/p/optima-blue-top-marine-battery-group-size-27m-800-cca-d27m/16940024-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,800 A,1000 A,>500AMP,8.75,12.187000000000001,6.812,501-1000sq.inch,Top Left,Top Right,140 min,Top Mount,12.0 VDC,53.8,>40pound,,"Blue Top Marine Battery, Group Size 27M, 800 CCA",(21 reviews),2 YR FREE REPLACEMENT,344.99,16940024,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,344.99,201-400$,344.99,0.000641124
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-34-800-cca-34-980/16080022-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,34,800 A,1000 A,>500AMP,7.875,10.06,6.875,501-1000sq.inch,Top Right,Top Left,100 min,Top Mount,12.0 VDC,37.9,20.1-40pound,,"Red Top Battery, Group Size 34, 800 CCA",(39 reviews),3 YR FREE REPLACEMENT,254.99,16080022,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,254.99,201-400$,509.98,0.000947739
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12a-a/2090155-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,165 A,,,6.3,5.28,3.15,101-200sq.inch,,,,,12 v,8.3,5.1-10pound,,Power Sport Battery,(29 reviews),3 MO FREE REPLACEMENT,54.99,2090155,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,54.99,51-100$,54.99,0.00010219299999999999
