product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,product_warranty.y,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
Value Battery,Value Battery,https://shop.advanceautoparts.com/p/value-battery-battery-group-size-26-450-cca-26-v/11928950-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,26,450 A,560 A,>500AMP,7.75,8.187000000000001,6.812,201-500sq.inch,Top Right,Top Left,85 min,Top Mount,12.0 VDC,27.45,20.1-40pound,,"Battery, Group Size 26, 450 CCA",(0 reviews),90 DAY REPLACEMENT IF DEFECTIVE,84.99,11928950,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,84.99,51-100$,0.0,0.0
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-58r-590-cca-58r-2/2040069-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,58R,590 A,719 A,>500AMP,6.937,10.06,7.187,501-1000sq.inch,Top Left,Top Right,90 min,Top Mount,12.0 VDC,31.0,20.1-40pound,,"Battery, Group Size 58R, 590 CCA",(20 reviews),2 YR FREE REPLACEMENT,159.99,2040069,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4,159.99,101-200$,639.96,0.001189292
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-31t-900-cca-d31t-1125/16080020-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,31T,900 A,1125 A,>500AMP,9.375,12.812000000000001,6.562,501-1000sq.inch,Top Right,Top Left,155 min,Top Mount,12.0 VDC,59.8,>40pound,,"Yellow Top Deep Cycle Battery, Group Size 31T, 900 CCA",(4 reviews),2 YR FREE REPLACEMENT,364.99,16080020,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,364.99,201-400$,0.0,0.0
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aaa-alkaline-batteries-16-pack-durmn2400b16z/12257313-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,CopperTop AAA Alkaline Batteries - 16 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,15.79,12257313,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4,15.79,0-50$,63.16,0.00011737600000000001
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aa-alkaline-batteries-16-pack-durmn1500b16z/12257416-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,CopperTop AA Alkaline Batteries - 16 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,15.79,12257416,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,5,15.79,0-50$,78.95,0.000146719
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aaa-alkaline-batteries-4-pack-durmn2400b4z/12257564-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,CopperTop AAA Alkaline Batteries - 4 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,6.79,12257564,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,10,6.79,0-50$,67.9,0.000126184
Energizer,,https://shop.advanceautoparts.com/p/energizer-2450-lithium-coin-battery-2-pack-2450bp-2n/12219202-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,"2450 Lithium Coin Battery, 2 Pack",(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,8.29,12219202,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,5,8.29,0-50$,41.45,7.70301e-05
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12n9-4b-1/2090090-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,85 A,,,5.47,5.31,2.95,51-100sq.inch,,,,,12 v,6.6,5.1-10pound,,Power Sport Battery,(10 reviews),3 MO FREE REPLACEMENT,50.99,2090090,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,50.99,51-100$,50.99,9.47591e-05
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16a-a/2090244-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,150 A,,,7.05,5.91,3.54,101-200sq.inch,,,,,12 v,11.2,10.1-20pound,,Power Sport Battery,(27 reviews),3 MO FREE REPLACEMENT,65.99,2090244,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,65.99,51-100$,65.99,0.000122635
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-78-800-cca-78/16940022-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,78,800 A,1000 A,>500AMP,7.25,10.06,7.312,501-1000sq.inch,Side Right,Side Left,100 min,Side Mount,12.0 VDC,39.54,20.1-40pound,,"Red Top Battery, Group Size 78, 800 CCA",(33 reviews),3 YR FREE REPLACEMENT,274.99,16940022,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,274.99,201-400$,549.98,0.001022075
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-41-650-cca-41-2/2040352-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,41,650 A,813 A,>500AMP,6.937,11.562000000000001,6.937,501-1000sq.inch,Top Left,Top Right,110 min,Top Mount,12.0 VDC,34.51,20.1-40pound,,"Battery, Group Size 41, 650 CCA",(20 reviews),2 YR FREE REPLACEMENT,159.99,2040352,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,159.99,101-200$,319.98,0.000594646
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16al-a2/2090252-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,175 A,,,6.42,8.03,2.76,101-200sq.inch,,,,,12 v,11.2,10.1-20pound,,Power Sport Battery,(8 reviews),3 MO FREE REPLACEMENT,71.99,2090252,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,71.99,51-100$,215.97,0.000401355
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-8d-1100-cca-8dx24/2100088-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,8D,1100 A,1355 A,>500AMP,9.812000000000001,20.75,11.125,>1000sq.inch,Top Left,Top Right,325 min,Top Mount,12.0 VDC,123.74,>40pound,,"Heavy Duty Commercial & Farm Battery, Group Size 8D, 1100 CCA",(7 reviews),12 MO FREE REPLACMENT,225.99,2100088,12 MO FREE REPLACMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,225.99,201-400$,677.97,0.001259929
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-30l-b/16940008-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,300 A,,,6.93,6.61,5.2,201-500sq.inch,,,,,12 v,18.7,10.1-20pound,,Power Sport Battery,(31 reviews),90 DAY REPLACEMENT IF DEFECTIVE,109.99,16940008,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,109.99,101-200$,219.98,0.00040880800000000003
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-1-700-cca-1-30/11968151-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,1,700 A,875 A,>500AMP,9.375,9.125,7.125,501-1000sq.inch,Top Left,Top Right,150 min,Top Mount,6.0 VDC,31.01,20.1-40pound,,"Heavy Duty Commercial & Farm Battery, Group Size 1, 700 CCA",(0 reviews),1 YR FREE REPLACEMENT,101.99,11968151,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,7,101.99,101-200$,713.93,0.001326757
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-1-800-cca-6v/16940018-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,1,800 A,1000 A,>500AMP,9.375,9.125,7.125,501-1000sq.inch,Top Left,Top Right,100 min,Top Mount,6.0 VDC,31.01,20.1-40pound,,"Red Top Battery, Group Size 1, 800 CCA",(4 reviews),3 YR FREE REPLACEMENT,224.99,16940018,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,224.99,201-400$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-4l-b/2090198-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,50 A,,,3.62,4.72,2.76,1-50sq.inch,,,,,12 v,3.3,2.1-5pound,,Power Sport Battery,(1 reviews),90 DAY REPLACEMENT IF DEFECTIVE,32.99,2090198,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,32.99,0-50$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16-b/2090007-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,240 A,,,6.1,6.89,3.94,101-200sq.inch,,,,,12 v,11.9,10.1-20pound,,Power Sport Battery,(17 reviews),90 DAY REPLACEMENT IF DEFECTIVE,67.99,2090007,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,67.99,51-100$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16cl-b/2090201-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,240 A,,,6.89,6.89,3.94,101-200sq.inch,,,,,12 v,12.0,10.1-20pound,,Power Sport Battery,(31 reviews),90 DAY REPLACEMENT IF DEFECTIVE,83.99,2090201,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,83.99,51-100$,167.98,0.000312172
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-31a-1000-cca-31hdp30/11968148-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,31A,1000 A,1190 A,>500AMP,9.437000000000001,13.0,6.812,501-1000sq.inch,Top Right,Top Left,185 min,Top Mount,12.0 VDC,63.0,>40pound,,"Heavy Duty Commercial & Farm Battery, Group Size 31A, 1000 CCA",(0 reviews),1 YR FREE REPLACEMENT,132.99,11968148,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,132.99,101-200$,132.99,0.000247147
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-75-86-620-cca-d75-25/16940020-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,620 A,770 A,>500AMP,7.75,9.375,6.812,201-500sq.inch,,,100 min,Dual Terminal,12.0 VDC,37.8,20.1-40pound,,"Yellow Top Deep Cycle Battery, Group Size 75/86, 620 CCA",(26 reviews),3 YR FREE REPLACEMENT,284.99,16940020,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,284.99,201-400$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12n12a-4a-1/2090017-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,113 A,,,6.3,5.28,3.15,101-200sq.inch,,,,,12 v,7.7,5.1-10pound,,Power Sport Battery,(4 reviews),3 MO FREE REPLACEMENT,49.99,2090017,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,49.99,0-50$,99.98,0.00018580099999999998
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-9l-b/2090325-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,130 A,,,5.47,5.31,2.95,51-100sq.inch,,,,,12 v,6.8,5.1-10pound,,Power Sport Battery,(1 reviews),3 MO FREE REPLACEMENT,49.99,2090325,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,49.99,0-50$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-14-a2/2090406-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,190 A,,,6.54,5.28,3.5,101-200sq.inch,,,,,12 v,9.2,5.1-10pound,,Power Sport Battery,(10 reviews),90 DAY REPLACEMENT IF DEFECTIVE,68.99,2090406,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,68.99,51-100$,68.99,0.00012821
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-66-750-cca-66-2/99996787-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,66,750 A,935 A,>500AMP,7.64,12.06,7.562,501-1000sq.inch,Top Right,Top Left,140 min,Top Mount,12.0 VDC,45.81,>40pound,,"Battery, Group Size 66, 750 CCA",(43 reviews),3 YR FREE REPLACEMENT,179.99,99996787,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,179.99,101-200$,0.0,0.0
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aaa-alkaline-batteries-8-pack-durmn24b8ptpz99/12257482-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,CopperTop AAA Alkaline Batteries - 8 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,9.99,12257482,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,7,9.99,0-50$,69.93,0.00012995700000000002
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-t8-800-cca-t8/10450413-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,6.937,13.937000000000001,6.937,501-1000sq.inch,Top Left,Top Right,,Top Mount,12.0 VDC,51.3,>40pound,90.0 Ah,"Battery, Group Size T8, 800 CCA",(2 reviews),3 YR FREE REPLACEMENT,179.99,10450413,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,179.99,101-200$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-10l-a2/2090139-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,160 A,,,5.71,5.31,3.54,101-200sq.inch,,,,,12 v,7.2,5.1-10pound,,Power Sport Battery,(4 reviews),3 MO FREE REPLACEMENT,54.99,2090139,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4,54.99,51-100$,219.96,0.00040877
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aa-alkaline-batteries-8-pack-durmn15b8ptpz99/12257418-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,CopperTop AA Alkaline Batteries - 8 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,9.99,12257418,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,14,9.99,0-50$,139.86,0.00025991400000000003
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aa-alkaline-batteries-4-pack-durmn1500b4z/12257484-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,CopperTop AA Alkaline Batteries - 4 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,6.29,12257484,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,8,6.29,0-50$,50.32,9.351389999999999e-05
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-8d-1400-cca-8dvt/12102972-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,8D,1400 A,1750 A,>500AMP,,,,,Top Left,Top Right,450 min,Top Mount,12.0 VDC,,,,"Heavy Duty Commercial & Farm Battery, Group Size 8D, 1400 CCA",(0 reviews),1 YR REPLACEMENT IF DEFECTIVE,259.99,12102972,1 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,259.99,201-400$,0.0,0.0
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-51-450-cca-d51/16940000-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,51,450 A,575 A,>500AMP,8.937000000000001,9.312000000000001,5.06,201-500sq.inch,Top Right,Top Left,66 min,Top Mount,12.0 VDC,26.0,20.1-40pound,,"Yellow Top Deep Cycle Battery, Group Size 51, 450 CCA",(22 reviews),3 YR FREE REPLACEMENT,264.99,16940000,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,264.99,201-400$,264.99,0.000492453
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-agm-premium-battery-group-size-31t-825-cca-ng31cs/10227749-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,31T,825 A,1000 A,>500AMP,9.437000000000001,13.0,6.812,501-1000sq.inch,Top Right,Top Left,200 min,Top Mount,12.0 VDC,70.6,>40pound,100.0 Ah,"AGM Premium Battery, Group Size 31T, 825 CCA",(1 reviews),12 MO FREE REPLACMENT,243.99,10227749,12 MO FREE REPLACMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,243.99,201-400$,0.0,0.0
AutoCraft,AutoCraft,https://shop.advanceautoparts.com/p/autocraft-power-sport-battery-12al-a/2090376-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,165 A,,,6.3,5.28,3.15,101-200sq.inch,,,,,12 v,8.3,5.1-10pound,,Power Sport Battery,(1 reviews),3 MO FREE REPLACEMENT,52.99,2090376,3 MO FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,52.99,51-100$,0.0,0.0
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12n14-3a/6590335-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,128 A,,,6.54,5.28,3.5,101-200sq.inch,,,,,12 v,9.0,5.1-10pound,,Power Sport Battery,(13 reviews),90 DAY REPLACEMENT IF DEFECTIVE,72.99,6590335,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,72.99,51-100$,0.0,0.0
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-31t-750-cca-31xs-30/11968230-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,31T,750 A,935 A,>500AMP,9.5,13.0,6.75,501-1000sq.inch,Top Left,Top Right,180 min,Top Mount,12.0 VDC,57.11,>40pound,,"Heavy Duty Commercial & Farm Battery, Group Size 31T, 750 CCA",(0 reviews),1 YR FREE REPLACEMENT,125.99,11968230,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2,125.99,101-200$,251.98,0.000468276
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-bt14b-4-210-cca-bt14b-4/12018857-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,210 A,,,,,,,Top Right,Top Left,,Top Mount,12.0 VDC,,,12.0 Ah,"Powersports Battery, Group Size BT14B-4, 210 CCA",(0 reviews),90 DAY REPLACEMENT IF DEFECTIVE,120.99,12018857,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,120.99,101-200$,120.99,0.00022484599999999998
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-29nf-420-cca-29nf40/11968146-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,29NF,420 A,525 A,>500AMP,9.0,12.875,5.5,501-1000sq.inch,Top Left,Top Right,77 min,Top Mount,12.0 VDC,38.1,20.1-40pound,,"Heavy Duty Commercial & Farm Battery, Group Size 29NF, 420 CCA",(0 reviews),1 YR FREE REPLACEMENT,139.99,11968146,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,139.99,101-200$,0.0,0.0
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-optimum-aa-batteries-4-pack-duropt1500b4/12257417-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,,,,,,,,,,,,,,,,Optimum AA Batteries - 4 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,8.99,12257417,30 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,14,8.99,0-50$,125.86,0.00023389599999999998
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-4-1000-cca-4-30/11968232-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,4,1000 A,1250 A,>500AMP,9.5,12.5,6.875,501-1000sq.inch,Top Left,Top Right,295 min,Top Mount,6.0 VDC,50.11,>40pound,,"Heavy Duty Commercial & Farm Battery, Group Size 4, 1000 CCA",(0 reviews),1 YR FREE REPLACEMENT,113.99,11968232,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,113.99,101-200$,0.0,0.0
