product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,sale_price,price_tier,skuid,product_id,units_sold,search_term,category,revenue,market_share,group_size
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-35-640-cca-35-2/2130004-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,35,640 A,800 A,601-800AMP,8.875,9.06,6.937,501-1000sq.inch,Top Left,Top Right,100 min,Top Mount,6 volt,39.01,20.1-40pound,NA,"Battery, Group Size 35, 640 CCA",(1174 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2130004,2130004,1346,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,242266.54,0.054493836,35
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-h6-730-cca-48h6/2130015-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,730 A,910 A,801-1000AMP,7.5,11,6.937,501-1000sq.inch,Top Left,Top Right,115 min,Top Mount,12 volt,38.81,20.1-40pound,NA,"Battery, Group Size H6, 730 CCA",(712 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2130015,2130015,943,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,169730.57,0.038178074,H6
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-h7-800-cca-94rh7/2130011-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,800 A,1000 A,801-1000AMP,7.5,12.437,6.937,501-1000sq.inch,Top Left,Top Right,140 min,Top Mount,12 volt,42.91,>40pound,NA,"Battery, Group Size H7, 800 CCA",(467 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2130011,2130011,917,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,165050.83,0.037125444,H7
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-65-850-cca-65-2/2040468-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,65,850 A,1000 A,801-1000AMP,7.562,12.06,7.562,501-1000sq.inch,Top Right,Top Left,150 min,Top Mount,12 volt,45.21,>40pound,NA,"Battery, Group Size 65, 850 CCA",(1422 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2040468,2040468,992,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,178550.08,0.040161876,65
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-h7-850-cca-h7-agm/10210826-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,850 A,1000 A,801-1000AMP,7.5,12.437,6.937,501-1000sq.inch,Top Left,Top Right,140 min,Top Mount,12 volt,51.8,>40pound,80.0 Ah,"Battery, Group Size H7, 850 CCA",(193 reviews),3 YR FREE REPLACEMENT,209.99,201-400$,10210826,10210826,713,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,149722.87,0.033677674,H7
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-24f-750-cca-24f-6/2130001-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,24F,750 A,935 A,801-1000AMP,9,10.75,6.812,501-1000sq.inch,Top Left,Top Right,130 min,Top Mount,12 volt,41.6,>40pound,NA,"Battery, Group Size 24F, 750 CCA",(1656 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2130001,2130001,972,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,174950.28,0.039352161,24F
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-h6-760-cca-h6-agm/10210829-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,760 A,950 A,801-1000AMP,7.5,11,6.937,501-1000sq.inch,Top Left,Top Right,120 min,Top Mount,12 volt,45.6,>40pound,70.0 Ah,"Battery, Group Size H6, 760 CCA",(386 reviews),3 YR FREE REPLACEMENT,209.99,201-400$,10210829,10210829,627,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,131663.73,0.02961557,H6
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-51r-500-cca-51r-2/2130008-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,51R,500 A,625 A,601-800AMP,8.75,9.375,5.062,201-500sq.inch,Top Left,Top Right,85 min,Top Mount,12 volt,27.81,20.1-40pound,NA,"Battery, Group Size 51R, 500 CCA",(884 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2130008,2130008,858,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,154431.42,0.034736784,51R
DieHard Red,DieHard,https://shop.advanceautoparts.com/p/diehard-red-battery-group-size-75-86-650-cca-35-75-2/2040433-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,650 A,810 A,801-1000AMP,7.312,9.06,7.06,201-500sq.inch,NA,NA,93 min,Dual Terminal,12 volt,32.55,20.1-40pound,NA,"Battery, Group Size 75/86, 650 CCA",(150 reviews),1 YR FREE REPLACEMENT,99.99,51-100$,2040433,2040433,169,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,16898.31,0.003800994,75/86
DieHard Red,DieHard,https://shop.advanceautoparts.com/p/diehard-red-battery-group-size-65-650-cca-65-0/2130021-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,65,650 A,812 A,801-1000AMP,7.562,12.06,7.562,501-1000sq.inch,Top Right,Top Left,80 min,Top Mount,12 volt,38.61,20.1-40pound,NA,"Battery, Group Size 65, 650 CCA",(278 reviews),1 YR FREE REPLACEMENT,99.99,51-100$,2130021,2130021,331,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,33096.69,0.007444551,65
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-96r-590-cca-96r-3/2130020-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,96R,590 A,740 A,601-800AMP,6.937,9.5,6.937,201-500sq.inch,Top Left,Top Right,95 min,Top Mount,12 volt,30.34,20.1-40pound,NA,"Battery, Group Size 96R, 590 CCA",(817 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2130020,2130020,460,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,82795.4,0.018623451,96R
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-h5-650-cca-47h5/2130014-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,650 A,810 A,801-1000AMP,7.5,9.562,6.937,201-500sq.inch,Top Left,Top Right,100 min,Top Mount,12 volt,32.91,20.1-40pound,NA,"Battery, Group Size H5, 650 CCA",(295 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,2130014,2130014,715,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,128692.85,0.02894732,H5
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-34-78-800-cca-34-78-4/2040409-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,800 A,1000 A,801-1000AMP,7.312,10.25,7.06,501-1000sq.inch,NA,NA,115 min,Dual Terminal,12 volt,40.2,>40pound,NA,"Battery, Group Size 34/78, 800 CCA",(1007 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040409,2040409,312,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,49916.88,0.011227973,34/78
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-26r-575-cca-26r-3/2040174-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,26R,575 A,720 A,601-800AMP,7.75,8.187,6.812,201-500sq.inch,Top Left,Top Right,81 min,Top Mount,12 volt,28.41,20.1-40pound,NA,"Battery, Group Size 26R, 575 CCA",(561 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040174,2040174,431,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,68955.69,0.015510438,26R
DieHard Red,DieHard,https://shop.advanceautoparts.com/p/diehard-red-battery-group-size-26r-510-cca-26r-2/2070111-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,26R,510 A,635 A,601-800AMP,7.75,8.187,6.812,201-500sq.inch,Top Left,Top Right,60 min,Top Mount,12 volt,28.41,20.1-40pound,NA,"Battery, Group Size 26R, 510 CCA",(320 reviews),1 YR FREE REPLACEMENT,99.99,51-100$,2070111,2070111,294,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,29397.06,0.006612381,26R
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-h8-900-cca-h8-agm/10210828-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,900 A,1000 A,801-1000AMP,7.5,13.937,6.937,501-1000sq.inch,Top Left,Top Right,160 min,Top Mount,12 volt,58.7,>40pound,95.0 Ah,"Battery, Group Size H8, 900 CCA",(191 reviews),3 YR FREE REPLACEMENT,209.99,201-400$,10210828,10210828,373,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,78326.27,0.017618194,H8
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-65-750-cca-65-1/2040115-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,65,750 A,935 A,801-1000AMP,7.562,12.06,7.562,501-1000sq.inch,Top Right,Top Left,140 min,Top Mount,12 volt,44.55,>40pound,NA,"Battery, Group Size 65, 750 CCA",(433 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040115,2040115,443,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,70875.57,0.015942283,65
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-24f-650-cca-24f-3/12181196-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,24F,650 A,812 A,801-1000AMP,NA,NA,NA,NA,Top Left,Top Right,130 min,Top Mount,12 volt,NA,NA,NA,"Battery, Group Size 24F, 650 CCA",(0 reviews),2 YR REPLACEMENT IF DEFECTIVE,159.99,101-200$,12181196,12181196,629,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,100633.71,0.022635882,24F
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-78-800-cca-78ft-2/11018021-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,78,800 A,1000 A,801-1000AMP,7.312,10.25,7.062,501-1000sq.inch,Side Right,Side Left,110 min,Side Mount,12 volt,37.87,20.1-40pound,NA,"Battery, Group Size 78, 800 CCA",(315 reviews),3 YR REPLACEMENT IF DEFECTIVE,179.99,101-200$,11018021,11018021,463,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,83335.37,0.018744908,78
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-24f-710-cca-24f-agm/10310750-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,24F,710 A,885 A,801-1000AMP,8.68,10.937,6.812,501-1000sq.inch,Top Left,Top Right,120 min,Top Mount,12 volt,45.9,>40pound,70.0 Ah,"Battery, Group Size 24F, 710 CCA",(63 reviews),3 YR FREE REPLACEMENT,209.99,201-400$,10310750,10310750,323,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,67826.77,0.015256506,24F
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-51r-425-cca-51r-1/2040107-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,51R,425 A,530 A,400-600AMP,8.75,9.375,5.062,201-500sq.inch,Top Left,Top Right,75 min,Top Mount,12 volt,26.81,20.1-40pound,NA,"Battery, Group Size 51R, 425 CCA",(218 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040107,2040107,427,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,68315.73,0.015366489,51R
DieHard Platinum,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-battery-bci-group-size-h7-800-cca-1000-ca-140-rc-94rh7-rp/12277123-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,800 A,1000 A,801-1000AMP,NA,NA,NA,NA,Top Left,Top Right,140 min,Top Mount,12 volt,NA,NA,NA,"Battery, BCI Group Size H7, 800 CCA, 1000 CA, 140 RC",(0 reviews),4 YR REPLACEMENT IF DEFECTIVE,199.99,101-200$,12277123,12277123,253,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,50597.47,0.011381061,BCI H7
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btx20hl-bs-310-cca-tx20hl/16940007-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,310 A,NA,NA,6.125,6.875,3.437,101-200sq.inch,Top Left,Top Right,NA,Top Mount,12 volt,13.67,10.1-20pound,18.0 Ah,"Powersports Battery, Group Size BTX20HL-BS, 310 CCA",(149 reviews),90 DAY REPLACEMENT IF DEFECTIVE,115.99,101-200$,16940007,16940007,342,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,39668.58,0.008922788,BTX20HL-BS
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-34-800-cca-34ft-2/11017956-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,34,800 A,1000 A,801-1000AMP,7.875,10.25,6.812,501-1000sq.inch,Top Right,Top Left,110 min,Top Mount,12 volt,38.1,20.1-40pound,NA,"Battery, Group Size 34, 800 CCA",(237 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,11017956,11017956,385,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,69296.15,0.015587018,34
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-h6-615-cca-91-1/2040007-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,615 A,765 A,601-800AMP,7.5,11,6.937,501-1000sq.inch,Top Left,Top Right,95 min,Top Mount,12 volt,35.91,20.1-40pound,NA,"Battery, Group Size H6, 615 CCA",(198 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040007,2040007,323,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,51676.77,0.011623831,H6
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-124r-700-cca-124r-2/11498859-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,124R,700 A,875 A,801-1000AMP,8.625,10.32,7,501-1000sq.inch,Top Left,Top Right,120 min,Top Mount,12 volt,39.6,20.1-40pound,NA,"Battery, Group Size 124R, 700 CCA",(137 reviews),3 YR FREE REPLACEMENT,179.99,101-200$,11498859,11498859,346,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,62276.54,0.014008074,124R
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-124r-600-cca-124r-1/2040182-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,124R,600 A,750 A,601-800AMP,8.625,10.32,7,501-1000sq.inch,Top Left,Top Right,120 min,Top Mount,12 volt,44.4,>40pound,NA,"Battery, Group Size 124R, 600 CCA",(653 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040182,2040182,240,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,38397.6,0.008636903,124R
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-35-650-cca-35-agm/11920814-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,35,650 A,800 A,601-800AMP,8.875,9.06,6.937,501-1000sq.inch,Top Left,Top Right,100 min,Top Mount,12 volt,40.4,>40pound,55.0 Ah,"Battery, Group Size 35, 650 CCA",(0 reviews),3 YR REPLACEMENT IF DEFECTIVE,209.99,201-400$,11920814,11920814,291,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,61107.09,0.013745025,35
DieHard Red,DieHard,https://shop.advanceautoparts.com/p/diehard-red-battery-group-size-24f-550-cca-24f-2/2070073-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,24F,550 A,685 A,601-800AMP,9,10.75,6.812,501-1000sq.inch,Top Left,Top Right,85 min,Top Mount,12 volt,37.5,20.1-40pound,NA,"Battery, Group Size 24F, 550 CCA",(48 reviews),1 YR FREE REPLACEMENT,99.99,51-100$,2070073,2070073,196,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,19598.04,0.004408254,24F
DieHard Platinum,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-battery-din-group-size-h6-730-cca-910-ca-120-rc-48h6-rp/12257814-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,730 A,910 A,801-1000AMP,NA,NA,NA,NA,Top Left,Top Right,120 min,Top Mount,12 volt,NA,NA,NA,"Battery, DIN Group Size H6, 730 CCA, 910 CA, 120 RC",(0 reviews),4 YR REPLACEMENT IF DEFECTIVE,199.99,101-200$,12257814,12257814,274,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,54797.26,0.012325734,DIN H6
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-35-500-cca-35-1/2040050-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,35,500 A,625 A,601-800AMP,8.875,9.06,6.937,501-1000sq.inch,Top Left,Top Right,80 min,Top Mount,12 volt,33.95,20.1-40pound,NA,"Battery, Group Size 35, 500 CCA",(133 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040050,2040050,460,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,73595.4,0.016554063,35
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-86-525-cca-86-1/2040180-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,86,525 A,625 A,601-800AMP,8,9.06,6.812,201-500sq.inch,Top Right,Top Left,90 min,Top Mount,12 volt,31.11,20.1-40pound,NA,"Battery, Group Size 86, 525 CCA",(130 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040180,2040180,262,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,41917.38,0.009428619,86
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-h5-680-cca-h5-agm/10700670-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,680 A,850 A,801-1000AMP,7.5,9.562,6.937,201-500sq.inch,Top Left,Top Right,100 min,Top Mount,12 volt,39.6,20.1-40pound,60.0 Ah,"Battery, Group Size H5, 680 CCA",(24 reviews),3 YR FREE REPLACEMENT,209.99,201-400$,10700670,10700670,153,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,32128.47,0.007226766,H5
Value Battery,Value Battery,https://shop.advanceautoparts.com/p/value-battery-battery-group-size-75-86-650-cca-7586dt-v/11410642-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,650 A,810 A,801-1000AMP,7.312,9.06,7.06,201-500sq.inch,NA,NA,93 min,Dual Terminal,12 volt,32.55,20.1-40pound,NA,"Battery, Group Size 75/86, 650 CCA",(65 reviews),90 DAY REPLACEMENT IF DEFECTIVE,84.99,51-100$,11410642,11410642,11,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,934.89,0.00021,75/86
